"Paper type: C=conference paper, J = journal paper, M=miscellaneous (capstone, keynote, VAST challenge, panel, poster, ...)",Author Keywords,IEEE XPLORE Article Number (deprecated),References (deprecated)
J,"Computational topology, event detection, spatio-temporal index, urban data, visual exploration",6876004,6634181;4376137;4677356;1372235;6634137;4015464;4677354;6634127;6634174;6400557;6102454;6634109
J,"Domain-specific languages, Volume visualization, Volume visualization framework",6876040,1532792;235219;5290720;6875916;1372194;6064996;1532788;235202;4658164
J,"Diffusion Kurtosis Imaging, Diffusion Tensor Imaging, Spatio-Angular Fields, Spherical Harmonics Fields, Tensor Fields",6875910,6634193;4376179;5613502;6327240;809886;1372208;4658153;1372209;1372186;6064942;4658184
J,"regular maps, tiling, tessellation, surface topology, mathematical visualization",6887357,
J,"math visualization, 4D, deformation, Reidemeister theorem",6876027,6327209;1532804;1532843;5613471;1532833;4376203
J,"Domain-specific language, volume rendering, GPU computing, distributed heterogeneous systems",6875916,1372194
J,"Volume-preserving mapping, data regularization, data transformation",6875953,4658186;1372206;1183795;6064964
J,"Inertial particles, flow visualization, vortex cores",6875993,1532851;4376212;5613462;809896;745296
J,"Retweeting threads, anomaly detection, social media, visual analytics, machine learning, information visualization",6876013,6102456;6327271;6400557;6065010;6065008;6327270;6634152;6400485;5652922;5613451;6634134;6634160
J,"Biclusters, interactive visual analytics, coordinated relationships, design framework",6875974,4015425;5290704;1532126;5613440;146402;6064995;4015417;5290706;809866;4035752;1382886;6102449;6634163;4015444;4376154
C,"Intelligence Analysis, Coordinated and Multiple Views, Time-varying data, Geographic/Geospatial Visualization",7042479,6327252;5332596;1532138;745302;5332593
C,"Road-based Query, Taxi Trajectory, Hash Index, Visual Analysis",7042486,6102458;6634127;6634174;6634137;6102455;6634187
C,"Evaluation methodology, insight-based evaluation, visual analytics, network visualization, information visualization",7042482,6327245;4376141;6634168;5613456;6634108;1532136;5290702;6064996;5613428;6634156
C,"MR spectroscopy, cancer, brain, visualization, multi-modality data, radiotherapy planning, medical decision support systems",7042481,4376166;6634151;5613435
C,,7042484,6400554;5613433;4376154;6065002;6102440;5290710;801851;4015424;4389013
C,"sports visualization, sports analytics, baseball, game reconstruction, baseball metrics, event data",7042478,6327288;6634087;6327272;964541_07
C,"Boundary change, visual analytics, scatter plot, ThemeRiver, contour map, radial visualization",7042490,6634092;1382887;963273;6065008;4658136;1532149;6634107;6327262;4376143;4658146;4376139
J,"Multi-relational data, visual data analysis, drug discovery",6875994,6634163;6327248;6327277;4389006;4015424;6634091
J,"Composite visualization, hierarchical clustering, illustrative parallel coordinates, radial trees, 3D shape analysis",6875958,6634138;6634107;5613440;5290748;1532856;5613488;4015425;398859;809866;4376186
J,"Information Visualization, Temporal Event Sequences, Visual Analytics, Flow Diagrams, Medical Informatics",6875996,6634096;6327272;6065010;885097;5332595;5652890;5290698;4035762;6634100
J,"visual analytics, portfolio mining, web-based visualization, casual visualization, design study",6876046,4376134;6065005;5613437;6327279;5290717;6634091;963283;6327248;4677361
J,"Topic coopetition, information diffusion, information propagation, time-based visualization",6875992,5652931;6327271;4658136;6065008;6327273;6876032;6634134;6634164;6634160
C,"Visual Analytics, Sport Analytics, Soccer Analysis",7042477,6327288;4677350;4376136;6634174;6634194;6634165;6634195
C,"View Space Exploration Framework, Interesting View Problem, Relevance Feedback, User Preference Model",7042480,1532142;6327290;5613439;6400486;4389001;6634192;6400488
J,"User Interactions, Analytic Provenance, Visualization, Applied Machine Learning",6875913,6327275;5653587;5333020;6400486;1532788;6327295;4035754;4677352
J,"discovery search visualization, visual cues, discoverage, coverage tracking, document triage, interactive histograms",6875947,5333443;4677365;4389006;963287;4376132;4035752;4376131
J,"Web-based visualization, gene regulatory network",6876028,4658137;5290693;6064996;5290692
C,"Visual Analytics, Spatiotemporal Data Mining and Visualization, Water Quality",7042488,568146;885097
J,"Predictive modeling, feature selection, classification, visual analytics, high-dimensional data",6876047,1382893;5332586;1532142;6064985;6102448;1249015;6065027;6102453;6634169;5290704;5652443
C,"Social Media, Predictive Analytics, Feature Selection",7042495,6400557;6064996;6400486;6634160;6634134;6102456;6327271;6634169;1382902;6102448;5652443;1382892
J,"Interactive Visual Analysis, Epidemiology, Spine",6876009,6634192;6064996;885739;6064951;4376166
J,"Visual Analytics, Knowledge Generation, Reasoning, Visualization Taxonomies and Models, Interaction",6875967,1532781;6634168;5333023;6064985;4658124;4677361;4677365;5652879;6327297;4677358;4658127;4389006;6102435;6634156
J,"Time-series visualization, stacked graphs, log data visualization, text visualization",6876038,5652931;5290722;4389008;6327273;559227;6327274;5613451;6327272;6065008;6400494;1532150;4658136
C,"Visual analytics, Semantic Interaction, Sensemaking, Text Analytics",7042492,6102449;6634115;6400559;6400486;528686;4389006
J,"Visual analytics infrastructures, integration, interactive algorithms, user involvement, problem subdivision",6875995,6400486;4388999;6102449;4376144;5290697;6876043;4677350;4015496;6634167;6634169;1173145;5290719;1382891;6102453;6327292;1249014;6064985
J,"Opinion visualization, opinion diffusion, opinion flow, influence estimation, kernel density estimation, level-of-detail",6876032,6065008;6634160;6634134;6875938;1532152;6327271;4035748;5613451;6634164;6875992;5613449;5333919
C,"Personal emotion analytics, affective and mood modeling, social media text, Twitter, information visualization",7042496,6065008;6400485;5613451;6064996;5613449
J,"Visual Analytics, Natural Scales, Seasonal Trend decomposition based on Loess (STL), Law Enforcement",6875970,6634169;6634096;6400491;4389006;6634100
J,"Progressive visual analytics, information visualization, interactive machine learning, electronic medical records",6876049,4035762;6634152;5290711;6065010;1532133;6327272;6634137;885097;6634100
J,"Disaster management, simulation control, decision making, visual evidence, storytelling",6875941,1173149;885727;5613488;6064952;5613487;4658193
C,"Text visualization, topic modeling",7042493,6102449;885098;729570;6065008;6065024;6400486;6102461;6634124;6634160;4389006;4389004
J,"Sensemaking, Collaboration, Externalization, Linked common work, Collaborative thinking space",6875986,5333245;4035757;4677358;6634130;6102438;5333878;4035747;4389011;4389006;6102447
J,"Interactive visual analysis, visualization in earth/space/ and environmental sciences, coordinated and multiple views, design studies",6875977,885086;5290748;485139
C,"Topic graph, graph matching, graph visualization, user interactions, level-of-detail",7042494,6102461;6065008;5290695;5613456;6102439;4015433;6327258;6634134;6634160;6327255;5613449;6875938;4376140;6634197;6634167;4376154;6634179;5613451;6875992
C,"Multimedia (image/video/music) visualization, machine learning",7042476,4035765;4389003;1532136;5613466;4376144;4376134;6634090
J,"Scagnostics, Scatterplot matrix, Transformation, High-Dimensional Visual Analytics",6875999,4015420;1532142;6634178;6064993;4035766;5613439;6102437;4389006
C,"Information Visualization, Visual Analytics, Log Analysis, Log Visualization, Session Analysis, Funnel Analysis",7042487,885091;5290698;636718;4389008;559227;6327272;4376152;6400494;6634101;1382905;175815;6634100;4035762;6064996
J,"Time-Series, Visual Analytics, E-transaction",6876015,5290717;4389009;6327274;528685;6400494;5613429;5290708
J,"visual analytics, document analysis, literary analysis, natural language processing, text mining, machine learning, distant reading",6875959,5652926;4658133;6400485;6634115;4376131;6400486;6327290;5290726;6634160;528686;5333248;6327294;4389006;5333919;4389004
J,"Computational steering, visual analytics, critical infrastructure, homeland security",6875926,885098;6064950;6327294;4376134;5613487;6634184;5613486;6102460;6102457
C,"climate changes, spatiotemporal visualization, station-based observation data, radial layout, visual analytics",7042489,6400491;5613457;885098;4376168;5290745;5613449;6400553;5613424;5290751
J,"Scatterplot, overdraw reduction, sampling, visual abstraction",6875982,6634155;4658159;745301;4658154;5613442;4015436;4376150;6634151;1382898;5652460;5290758;5290706;6065019;6327254;5613435;6634167;6064975;4658123;6634120
C,"Biologic Visualization, Graph Visualization, Motif Search, Motif Visualization, Biology, Mutations, Pattern Visualization",7042485,6634198;6102439;5333893;5290692;4376140;5290706;4376152
J,"utility services, evidence-based decision making, visual analytics, aggregate",6876008,6400557;6400556;6634174;5290695;4677356;6327271;6634110;6634127;6102455;6102460;5290706
J,"Ocean modeling, model assessment, geospatial time series, cluster ensembles, visual comparison, visual analytics",6876007,6327226;6327206;4658178
J,"Interactive Visual Analysis, Integrated Design Environment, Simulation, Visual Steering, Automatic Optimization",6876045,5613487;6327232;4658193;5290719;5613486
J,"Sparse Traffic Trajectory, Traffic Visualization, Dynamic Graph Visualization, Traffic Congestion",6876014,6400556;1382887;4677356;1532151;6102458;6065001;6634174;6634194;5332584;6634127;6102454;6102455;5290694;6327262
J,"Probabilistic classification, confusion analysis, feature evaluation and selection, visual inspection",6875957,885740;5652398;5332628;6327290;6400486;6634104;6327291;6102448;6102453;6400492;5652443
J,"Similarity, clustering, matrix, optimization, climate model",6876041,4658178;6327268;1532821;6634124;6400486;6634115;6634158;4677350;6634156
J,"Mobility, public transportation, visual analytics",6876029,963273;6065021;6065020;5290710;6327262;6634174;6634127;6102455;1532150
C,"Pixel-oriented techniques, task and requirements analysis, multidimensional data, network security and intrusion",7042483,4015417;1532134;175795;4035754;5290695;528685
C,"Visual analysis, comparative visualization, 3D data exploration, focus+context, mesh comparison",7042491,1173157;146402;6634107;1183790
J,"Data storytelling, narrative visualization, narrative structure",6634182,1532788;4376131;4376133;5613452;4658129;6064988;4376187;4376146;885086
J,"Task taxonomy, design space, climate impact research, visualization recommendation",6634156,559213;1532136;4376144;146372;6327265;235203;1382903;4677365;559211;1382902;636792;885093;885092;146375
J,"Comparative visualization, small-multiple displays, trellis displays, categorical data",6634111,5613440;4376133;1532821;6634169;6065027;6102439;4658146;885086;6327278;4376140
J,"Typology, visualization models, task and requirements analysis, qualitative evaluation",6634168,4376134;6327298;559213;6327248;6327297;1532136;5613437;4376146;1173148;4376144;6327275;5290695;4658124;235203;1382903;4677365;6102438;4658127;4658129;729560;1382902;6327277;146375
J,"Science of interaction, interaction primitives, interactive maps, geovisualization, interaction techniques",6634181,559213;4376144;146375;729560;1532136;5653599;885092
J,"Information visualization, interaction model, notational system, physical visualization",6634126,5613437;1532781;4376131;1532136;6327257;4376144;6327275;4015439;5290713;1249008;729560;146375
J,"Hierarchy data, tabular data, nested relations, layout management",6634099,6102445;1382886;528693;4376133;175815;1532129;636761
J,"Linewidth illusion, data visualization, high-dimensional displays, parallel sets, hammock plots, Muller-Lyer illusion",6634157,885091;1532128;5613436;6064996;5290702
J,"Creativity techniques, user-centered design, data visualization, smart home, energy consumption",6634166,5613425;6327248;6065016;4376146;801851;6065017
J,"Dynamic networks, hybrid visualization, taxonomy, evolution, animation, difference map",6634116,6400552;6064994;1532151;6065001;1173155;6065000;4658145;4376154;1173148;1532129;1173160;4376146
J,"High dimensional data, hierarchical visualization, sub-dimensional space, user interaction, subspace, tree, matrix",6634155,1532142;5290705;5613440;1249015;146402;6400488;663866;485140;5613439;5290702;4035763;809866;1382891;1382892;1382893;5290704;4658123;1173151
J,"Directed graphs, networks, modular decomposition, power graph analysis",6634098,5290726;6065003;4015416;1382906
J,"Dimensionality reduction, scatterplots, quantitative study",6634128,5290709;6064985;4376149;1532142;636793;5652392;6400490;4658124;5332628
J,"Pathway visualization, biological networks, subsets, graphs, biomolecular data",6634190,5333443;6064995;6065000;5290706;6064990;885087
J,"Provenance data, graph/network data, hierarchy data, quantitative evaluation, gender differences",6634189,4015433;1532136;4015416;5290692;1382906;1382886;1532788;6065012;1532134
